Date,StockCode,StockName,EntrySignal,SignalGrade,SignalStrength,SignalReason,EntryPrice,StopLoss,Target1,Target2,RiskReward,Outcome,ExitPrice,ReturnPct,HitType,VolumeSurge,MarketPhase
2026-02-27,NSSS,Nusantara Sawit Sejahtera Tbk.,BUY - AKUMULASI,C,42,NonReg 88.7% | Avg Rp6jt | Asing: NET BUY | Hammer,1115.0,1082.0,1148.0,1182.0,2.0,LOSS,1082.0,-2.9596412556053813,STOP_LOSS,0.4634972308964497,Trending Up
2026-03-02,ASII,Astra International Tbk.,BUY - AKUMULASI,B,61,NonReg 4.8% | Avg Rp14jt | Asing: NET BUY,6300.0,6111.0,6489.0,6678.0,2.0,LOSS,6275.0,-0.3968253968253968,CLOSE,1.3706507665723742,Sideways
2026-03-02,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,BUY - AKUMULASI,B,69,NonReg 8.5% | Avg Rp20jt | Asing: NET BUY,3820.0,3705.0,3935.0,4049.0,2.0,LOSS,3770.0,-1.3089005235602094,CLOSE,1.020963392581365,Trending Up
2026-03-02,CYBR,ITSEC Asia Tbk.,BUY - REVERSAL,B,66,Dip -3.3% | Pos 0/100 | Vol 1.2x,1450.0,1392.0,1494.0,1537.0,1.5,LOSS,1445.0,-0.3448275862068966,CLOSE,1.2204884421850544,Trending Up
2026-03-03,ISAT,Indosat Tbk.,BUY - AKUMULASI,C,36,NonReg 11.9% | Avg Rp9jt | Asing: NET BUY | EMA5 Breakout + Tweezer Bottom,2290.0,2221.0,2359.0,2427.0,2.0,LOSS,2221.0,-3.0131004366812224,STOP_LOSS,0.7949931081233759,Sideways
2026-03-03,TLKM,Telkom Indonesia (Persero) Tbk.,BUY - AKUMULASI,B,68,NonReg 17.2% | Avg Rp27jt | Asing: NET BUY,3450.0,3346.0,3554.0,3657.0,2.0,LOSS,3346.0,-3.0144927536231885,STOP_LOSS,1.3453380193448166,Trending Down
2026-03-03,PANI,Pantai Indah Kapuk Dua Tbk.,BUY - AKUMULASI,B,45,NonReg 1263.0% | Avg Rp10jt | Asing: NET BUY,8825.0,8560.0,9090.0,9354.0,2.0,LOSS,8560.0,-3.002832861189802,STOP_LOSS,1.1528028279104494,Trending Down
2026-03-03,ENRG,Energi Mega Persada Tbk.,BUY - AKUMULASI,B,62,NonReg 5.1% | Avg Rp11jt | Asing: NET BUY | Above MA Stack,2130.0,2066.0,2194.0,2258.0,2.0,WIN,2258.0,6.009389671361502,TARGET2,1.3693954950632026,Trending Up
2026-03-04,UANG,Pakuan Tbk.,BUY - AKUMULASI,B,51,NonReg 199.3% | Avg Rp5jt,4120.0,3996.0,4244.0,4367.0,2.0,WIN,4367.0,5.995145631067961,TARGET2,1.0363486162742668,Sideways
2026-03-04,AUTO,Astra Otoparts Tbk.,BUY - AKUMULASI,B,66,NonReg 18.8% | Avg Rp9jt | Asing: NET BUY,2750.0,2668.0,2832.0,2915.0,2.0,WIN,2780.0,1.090909090909091,CLOSE,1.339225147449488,Trending Up
2026-03-05,NSSS,Nusantara Sawit Sejahtera Tbk.,BUY - AKUMULASI,C,34,NonReg 48.6% | Avg Rp9jt | Asing: NET BUY,970.0,941.0,999.0,1028.0,2.0,LOSS,941.0,-2.9896907216494846,STOP_LOSS,1.258930371812909,Trending Down
2026-03-06,NSSS,Nusantara Sawit Sejahtera Tbk.,BUY - AKUMULASI,C,40,NonReg 395.8% | Avg Rp11jt | Asing: NET BUY | Hammer + Bullish Pin Bar,960.0,931.0,989.0,1018.0,2.0,LOSS,931.0,-3.0208333333333335,STOP_LOSS,1.2740853083487624,Trending Down
2026-03-06,AUTO,Astra Otoparts Tbk.,BUY - AKUMULASI,C,37,NonReg 5.9% | Avg Rp6jt | Asing: NET BUY,2770.0,2687.0,2853.0,2936.0,2.0,LOSS,2687.0,-2.996389891696751,STOP_LOSS,0.4045164824220695,Sideways
2026-03-06,MSIN,MNC Digital Entertainment Tbk.,BUY - AKUMULASI,B,46,NonReg 30.4% | Avg Rp7jt | Asing: NET BUY | Bullish Pin Bar,535.0,519.0,551.0,567.0,2.0,LOSS,519.0,-2.990654205607477,STOP_LOSS,1.0744513865844987,Trending Up
2026-03-09,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,BUY - AKUMULASI,B,54,NonReg 41.8% | Avg Rp15jt | Asing: NET BUY,8725.0,8463.0,8987.0,9248.0,2.0,WIN,9248.0,5.994269340974212,TARGET2,0.5903813289985098,Sideways
2026-03-09,ITMA,Sumber Energi Andalan Tbk.,BUY - AKUMULASI,B,53,NonReg 16.1% | Avg Rp44jt | Asing: NET BUY | Above MA Stack,2540.0,2464.0,2616.0,2692.0,2.0,WIN,2692.0,5.984251968503937,TARGET2,0.7225649201667743,Sideways
2026-03-10,ISAT,Indosat Tbk.,BUY - AKUMULASI,C,44,NonReg 41.2% | Avg Rp9jt | Asing: NET BUY,2050.0,1988.0,2112.0,2173.0,2.0,LOSS,2030.0,-0.975609756097561,CLOSE,1.2598075752706186,Trending Down
2026-03-10,NSSS,Nusantara Sawit Sejahtera Tbk.,BUY - AKUMULASI,C,38,NonReg 235.3% | Avg Rp10jt | Asing: NET BUY | Bullish Pin Bar,965.0,936.0,994.0,1023.0,2.0,WIN,994.0,3.005181347150259,TARGET1,1.2154470351298505,Trending Down
