stock_code,entry_date,exit_date,days_held,entry_price,exit_price,quantity,signal_type,signal_strength,exit_reason,gross_pnl,net_pnl,pnl_pct,commissions,slippage,stop_loss,target1,target2
SMIL,2023-10-05,2023-10-05,1,142.0,139.0,87200,BUY - MOMENTUM,81,STOP_LOSS,-261600.0,-322858.0,-2.112676056338028,36754.8,24503.2,139.0,146.0,148.0
AMRT,2023-10-05,2023-10-06,2,2900.0,2842.0,4200,BUY - MOMENTUM,89,STOP_LOSS,-243600.0,-303891.0,-2.0,36174.600000000006,24116.4,2842.0,2987.0,3016.0
BFIN,2023-10-12,2023-10-16,3,1085.0,1063.0,11300,BUY - MOMENTUM,78,STOP_LOSS,-248600.0,-309281.0,-2.0276497695852536,36408.600000000006,24272.4,1063.0,1118.0,1128.0
TLKM,2023-10-16,2023-10-18,3,3760.0,3750.0,3200,BUY - REVERSAL,100,MAX_HOLDING,-32000.0,-92080.0,-0.26595744680851063,36048.0,24032.0,3666.0,3901.0,3948.0
KLBF,2023-10-24,2023-10-24,1,1825.0,1788.0,6700,BUY - MOMENTUM,100,STOP_LOSS,-247900.0,-308417.75,-2.0273972602739727,36310.65,24207.1,1788.0,1880.0,1898.0
APIC,2023-10-24,2023-10-26,3,1075.0,1080.0,11300,BUY - MOMENTUM,67,MAX_HOLDING,56500.0,-4378.75,0.46511627906976744,36527.25,24351.5,1054.0,1107.0,1118.0
CTRA,2023-10-25,2023-10-26,2,1040.0,1019.0,11700,BUY - MOMENTUM,77,STOP_LOSS,-245700.0,-305925.75,-2.019230769230769,36135.45,24090.300000000003,1019.0,1071.0,1082.0
AMRT,2023-11-07,2023-11-07,1,2890.0,2832.0,4200,BUY - MOMENTUM,100,STOP_LOSS,-243600.0,-303681.0,-2.006920415224913,36048.600000000006,24032.4,2832.0,2977.0,3006.0
BRIS,2023-11-07,2023-11-08,2,1500.0,1462.0,8000,BUY - REVERSAL,95,STOP_LOSS,-304000.0,-363240.0,-2.533333333333333,35544.0,23696.0,1462.0,1556.0,1575.0
AMRT,2023-11-15,2023-11-17,3,2900.0,2890.0,4100,BUY - MOMENTUM,75,MAX_HOLDING,-41000.0,-100347.5,-0.3448275862068966,35608.5,23739.0,2842.0,2987.0,3016.0
MDKA,2023-11-23,2023-11-23,1,2250.0,2205.0,5300,BUY - MOMENTUM,100,STOP_LOSS,-238500.0,-297528.75,-2.0,35417.25,23611.5,2205.0,2318.0,2340.0
PWON,2023-11-23,2023-11-27,3,426.0,430.0,28200,BUY - MOMENTUM,84,MAX_HOLDING,112800.0,52452.0,0.9389671361502347,36208.8,24139.2,417.0,439.0,443.0
ERTX,2023-11-28,2023-11-28,1,426.0,417.0,28100,BUY - MOMENTUM,100,STOP_LOSS,-252900.0,-312120.75,-2.112676056338028,35532.45,23688.300000000003,417.0,439.0,443.0
BIPI,2023-11-28,2023-11-28,1,113.0,111.0,106100,BUY - MOMENTUM,100,STOP_LOSS,-212200.0,-271616.0,-1.7699115044247788,35649.600000000006,23766.4,111.0,116.0,118.0
BTPS,2023-11-28,2023-11-28,1,1690.0,1648.0,7000,BUY - REVERSAL,100,STOP_LOSS,-294000.0,-352415.0,-2.485207100591716,35049.0,23366.0,1648.0,1753.0,1774.0
BRIS,2023-11-28,2023-11-30,3,1660.0,1655.0,7200,BUY - MOMENTUM,76,MAX_HOLDING,-36000.0,-95670.0,-0.30120481927710846,35802.0,23868.0,1627.0,1710.0,1726.0
TLKM,2023-11-30,2023-12-04,3,3760.0,3810.0,3100,BUY - MOMENTUM,100,MAX_HOLDING,155000.0,96332.5,1.3297872340425532,35200.5,23467.0,3685.0,3873.0,3910.0
MAPA,2023-12-04,2023-12-04,1,800.0,780.0,14800,BUY - REVERSAL,98,STOP_LOSS,-296000.0,-354460.0,-2.5,35076.0,23384.0,780.0,830.0,840.0
APIC,2023-12-05,2023-12-05,1,1180.0,1156.0,10000,BUY - MOMENTUM,100,STOP_LOSS,-240000.0,-298400.0,-2.0338983050847457,35040.0,23360.0,1156.0,1215.0,1227.0
MNCN,2023-12-20,2023-12-21,2,384.0,376.0,30600,BUY - MOMENTUM,83,STOP_LOSS,-244800.0,-302940.0,-2.083333333333333,34884.0,23256.0,376.0,396.0,399.0
HRUM,2023-12-27,2023-12-27,1,1350.0,1323.0,8600,BUY - MOMENTUM,100,STOP_LOSS,-232200.0,-289669.5,-2.0,34481.7,22987.800000000003,1323.0,1390.0,1404.0
