FileDate,StockCode,StockName,Close,ChangePct,Volatility,Volume,Value,Frequency,High,Low,SpreadPct,AvgTradeSize,VolumeVsShares,ValueRank,DayTradingScore
2026-02-24,AMMN,Amman Mineral Internasional Tbk.,7450.0,-4.487179487179487,7.051282051282051,29926200.0,225673415000.0,15164.0,7875.0,7325.0,0.33557046979865773,14882182.471643366,0.00048807956851401146,0.9728601252609603,37.91775669696311
2026-02-24,SSMS,Sawit Sumbermas Sarana Tbk.,1735.0,-0.8571428571428572,5.428571428571429,6402900.0,11177253000.0,999.0,1800.0,1705.0,0.2881844380403458,11188441.441441441,0.0006722204724409448,0.8183716075156576,37.59684529798345
2026-02-24,SRTG,Saratoga Investama Sedaya Tbk.,1770.0,-4.838709677419355,5.10752688172043,8797300.0,15927995000.0,2547.0,1865.0,1770.0,0.2824858757062147,6253629.760502552,0.0006485371919378305,0.8475991649269311,37.50485413523559
2026-02-24,CBDK,Bangun Kosambi Sukses Tbk.,5900.0,-2.479338842975207,4.958677685950414,8667800.0,51438975000.0,4564.0,6100.0,5800.0,0.423728813559322,11270590.490797546,0.0015289971528209528,0.9154488517745303,37.438032478692044
2026-02-24,HRTA,Hartadinata Abadi Tbk.,2830.0,-0.7017543859649122,4.2105263157894735,31447200.0,89445544000.0,8900.0,2900.0,2780.0,0.35335689045936397,10050061.123595506,0.006828535980924778,0.9373695198329853,37.26853178730131
2026-02-24,WIIM,Wismilak Inti Makmur Tbk.,1995.0,-5.0,5.476190476190476,6027200.0,12246104000.0,1737.0,2110.0,1995.0,0.2506265664160401,7050146.229130685,0.0028702677821927734,0.8225469728601252,37.12145992384761
2026-02-24,JPFA,Japfa Comfeed Indonesia Tbk.,2420.0,0.0,5.371900826446281,34121600.0,83729068000.0,10550.0,2520.0,2390.0,0.4132231404958678,7936404.549763033,0.002909766868428067,0.9342379958246346,37.01059479636538
2026-02-24,BREN,Barito Renewables Energy Tbk.,7950.0,-1.5479876160990713,3.4055727554179565,11859800.0,95673885000.0,6627.0,8225.0,7950.0,0.3144654088050315,14436982.797645994,8.864739582297788e-05,0.94258872651357,36.73770055063096
2026-02-24,WIFI,Solusi Sinergi Digital Tbk.,2480.0,-2.7450980392156863,4.313725490196078,28682100.0,72404923000.0,6083.0,2590.0,2480.0,0.4032258064516129,11902831.333223738,0.0054030018219583115,0.9321503131524008,36.7120669916832
2026-02-24,BBNI,Bank Negara Indonesia (Persero) Tbk.,4450.0,-1.1111111111111112,1.3333333333333335,58150200.0,259254196000.0,15051.0,4490.0,4430.0,0.22471910112359553,17225047.903793767,0.0015748473862232158,0.9780793319415448,36.51171219831084
2026-02-24,BRMS,Bumi Resources Minerals Tbk.,1010.0,-4.716981132075472,8.018867924528301,371636600.0,385360441000.0,34799.0,1085.0,1000.0,0.49504950495049505,11073894.106152475,0.0026211455049105162,0.9864300626304802,36.299502774224635
2026-02-24,INKP,Indah Kiat Pulp & Paper Tbk.,10300.0,0.4878048780487805,2.682926829268293,13056300.0,134440832500.0,13377.0,10450.0,10175.0,0.24271844660194172,10050148.202137997,0.0023864632993378584,0.9592901878914405,36.15432261356322
2026-02-24,SUPA,Super Bank Indonesia Tbk.,1020.0,-4.672897196261682,4.672897196261682,88145400.0,91692850000.0,13469.0,1070.0,1020.0,0.49019607843137253,6807695.448808375,0.004874784617630882,0.9384133611691023,36.11318700134311
2026-02-24,ENRG,Energi Mega Persada Tbk.,1585.0,-4.804804804804805,9.30930930930931,244185600.0,397637785000.0,28115.0,1715.0,1560.0,0.31545741324921134,14143261.07060288,0.009268331661984165,0.9874739039665971,35.92412532977931
2026-02-24,ISAT,Indosat Tbk.,2330.0,0.0,3.862660944206009,50499500.0,118348261000.0,12029.0,2390.0,2300.0,0.4291845493562232,9838578.518580098,0.0015658365945380715,0.954070981210856,35.90918554341063
2026-02-24,TCPI,Transcoal Pacific Tbk.,11775.0,-0.6329113924050633,1.6877637130801686,4805200.0,56547337500.0,2195.0,11875.0,11675.0,0.21231422505307856,25761884.965831436,0.00096104,0.9227557411273486,35.78399279506861
2026-02-24,ADMR,Alamtri Minerals Indonesia Tbk.,2020.0,-3.349282296650718,3.827751196172249,56621500.0,116059314000.0,9739.0,2090.0,2010.0,0.49504950495049505,11916964.164698634,0.0013849870573061616,0.9519832985386222,35.06065118303266
2026-02-24,INCO,Vale Indonesia Tbk.,7000.0,-1.4084507042253522,3.169014084507042,14668700.0,103756922500.0,10269.0,7175.0,6950.0,0.35714285714285715,10103897.409679618,0.001391745718584725,0.9488517745302714,34.94747607014584
2026-02-24,ICBP,Indofood CBP Sukses Makmur Tbk.,7950.0,-2.4539877300613497,2.7607361963190185,13392800.0,107440995000.0,9131.0,8175.0,7950.0,0.3144654088050315,11766618.661701895,0.0011484227109320362,0.9498956158663883,34.89261806427268
2026-02-24,MYOR,Mayora Indah Tbk.,2140.0,-1.834862385321101,4.587155963302752,18059900.0,38845976000.0,7298.0,2220.0,2120.0,0.46728971962616817,5322824.883529734,0.00080773480668049,0.9039665970772442,34.54894960986159
2026-02-24,MAPI,Mitra Adiperkasa Tbk.,1300.0,-4.411764705882353,4.044117647058823,30829100.0,40894122500.0,7560.0,1355.0,1300.0,0.38461538461538464,5409275.462962963,0.0018571746987951806,0.907098121085595,34.50673534814795
2026-02-24,HMSP,H.M. Sampoerna Tbk.,870.0,-4.918032786885246,4.918032786885246,55370200.0,49129471000.0,6017.0,915.0,870.0,0.5747126436781609,8165110.686388566,0.00047602403234023896,0.9133611691022965,34.443939564862205
2026-02-24,SMGR,Semen Indonesia (Persero) Tbk.,3110.0,-2.8125,3.125,21182800.0,66499628000.0,7398.0,3200.0,3100.0,0.3215434083601286,8988865.63936199,0.0031374767417159002,0.9279749478079332,34.32570490405861
2026-02-24,AMRT,Sumber Alfaria Trijaya Tbk.,1785.0,-0.8333333333333334,2.7777777777777777,47340700.0,84651093000.0,13408.0,1815.0,1765.0,0.2801120448179272,6313476.506563246,0.0011400666609323814,0.9352818371607515,34.31315970398552
2026-02-24,ASII,Astra International Tbk.,6550.0,-1.1320754716981132,2.6415094339622645,51297100.0,340120465000.0,15353.0,6725.0,6550.0,0.7633587786259541,22153355.37028594,0.0012671096290042688,0.9822546972860126,33.926555579275345
2026-02-24,AUTO,Astra Otoparts Tbk.,2700.0,-1.8181818181818181,4.0,6569500.0,17944789000.0,3120.0,2800.0,2690.0,0.3703703703703704,5751534.935897436,0.0013630423096051172,0.8569937369519833,33.920609137747036
2026-02-24,BRPT,Barito Pacific Tbk.,2030.0,-5.14018691588785,7.009345794392523,74603100.0,154735048000.0,17745.0,2170.0,2020.0,0.49261083743842365,8719923.80952381,0.000795790014429924,0.9634655532359081,33.582204075623565
2026-02-24,ERAA,Erajaya Swasembada Tbk.,428.0,0.0,3.7383177570093453,127429600.0,55131611800.0,6656.0,440.0,424.0,0.46728971962616817,8282994.561298077,0.007989316614420063,0.9217118997912317,33.27898842360515
2026-02-24,INDF,Indofood Sukses Makmur Tbk.,6600.0,-0.7518796992481203,1.5037593984962405,26059800.0,172929787500.0,9764.0,6700.0,6600.0,0.3787878787878788,17710957.343301926,0.0029679423886755387,0.965553235908142,33.10874520316315
2026-02-24,HRUM,Harum Energy Tbk.,1200.0,-2.0408163265306123,3.6734693877551026,27967700.0,34040749000.0,4926.0,1245.0,1200.0,0.4166666666666667,6910424.076329679,0.0020689076127562303,0.8956158663883089,33.09074088981828
2026-02-24,ADRO,Alamtri Resources Indonesia Tbk.,2290.0,-1.293103448275862,2.1551724137931036,78680000.0,181130519000.0,20839.0,2330.0,2280.0,0.43668122270742354,8691900.715005519,0.0026771293472737413,0.9665970772442589,32.9908332858523
2026-02-24,FILM,MD Entertainment Tbk.,7425.0,-2.622950819672131,7.213114754098362,7839900.0,58594730000.0,8816.0,7750.0,7200.0,0.33670033670033667,6646407.667876588,0.0007200782483597057,0.9258872651356994,32.74065088114226
2026-02-24,PANI,Pantai Indah Kapuk Dua Tbk.,10100.0,-3.8095238095238098,5.714285714285714,10174700.0,103240747500.0,8510.0,10550.0,9950.0,0.7425742574257426,12131697.708578143,0.0005616098484247448,0.9478079331941545,32.25276643867974
2026-02-24,DKFT,Central Omega Resources Tbk.,875.0,-2.7777777777777777,4.444444444444445,21977400.0,19319954000.0,3454.0,905.0,865.0,0.5714285714285714,5593501.447596989,0.003897913936577375,0.8643006263048016,32.03100830335762
2026-02-24,PGAS,Perusahaan Gas Negara (Persero) Tbk.,2250.0,-0.881057268722467,2.643171806167401,38507100.0,86392102000.0,13682.0,2280.0,2220.0,0.4444444444444444,6314288.992837304,0.0015884778986793367,0.9363256784968684,31.56353123812759
2026-02-24,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,7625.0,1.3289036544850499,2.6578073089700998,1349100.0,10263740000.0,1302.0,7675.0,7475.0,0.32786885245901637,7883056.835637481,0.0004333450424185244,0.8110647181628392,31.42954768018636
2026-02-24,ELSA,Elnusa Tbk.,780.0,-3.7037037037037033,4.320987654320987,51144800.0,40310739500.0,7563.0,810.0,775.0,0.641025641025641,5329993.32275552,0.0070075768993628825,0.906054279749478,31.32656480756199
2026-02-24,UNVR,Unilever Indonesia Tbk.,2350.0,-0.8438818565400843,2.5316455696202533,24678900.0,57896716000.0,8554.0,2380.0,2320.0,0.425531914893617,6768379.2377834935,0.0006468912188728703,0.9237995824634656,30.76231744859154
2026-02-24,PGEO,Pertamina Geothermal Energy Tbk.,1110.0,-3.056768558951965,3.056768558951965,29122400.0,32663819500.0,6419.0,1145.0,1110.0,0.45045045045045046,5088614.971179311,0.000696445494112055,0.8914405010438413,30.745113563339576
