date,capital,unrealized_pnl,total_equity,num_positions,return_pct
2023-09-26,77162330.90374997,-50100.0,77112230.90374997,5,-22.887769096250025
2023-09-27,76965080.40374997,0.0,76965080.40374997,0,-23.034919596250027
2023-09-29,76965080.40374997,0.0,76965080.40374997,5,-23.034919596250027
2023-10-02,77230721.22374997,-14000.0,77216721.22374997,2,-22.783278776250036
2023-10-03,76954036.22374997,0.0,76954036.22374997,3,-23.045963776250034
2023-10-04,76954036.22374997,-861000.0,76093036.22374997,5,-23.906963776250034
2023-10-05,75895580.72374997,-13000.0,75882580.72374997,2,-24.117419276250036
2023-10-06,75279928.22374997,0.0,75279928.22374997,2,-24.720071776250034
2023-10-09,75224038.22374997,-60000.0,75164038.22374997,2,-24.835961776250034
2023-10-10,75257113.22374997,-25000.0,75232113.22374997,3,-24.767886776250034
2023-10-11,75398392.22374997,-127500.0,75270892.22374997,3,-24.729107776250032
2023-10-12,75215323.47374997,17000.0,75232323.47374997,4,-24.767676526250035
2023-10-13,75066428.47374997,-331000.0,74735428.47374997,3,-25.264571526250034
2023-10-16,74310926.47374997,0.0,74310926.47374997,3,-25.689073526250034
2023-10-17,74343780.97374997,47000.0,74390780.97374997,4,-25.609219026250035
2023-10-18,74204733.47374997,-160600.0,74044133.47374997,3,-25.95586652625003
2023-10-19,73475801.47374997,-175000.0,73300801.47374997,1,-26.699198526250033
2023-10-20,72506281.47374997,0.0,72506281.47374997,3,-27.49371852625003
2023-10-23,72026629.47374997,-296000.0,71730629.47374997,2,-28.269370526250036
2023-10-24,71403565.97374997,0.0,71403565.97374997,3,-28.596434026250034
2023-10-25,71403565.97374997,-433900.0,70969665.97374997,5,-29.03033402625003
2023-10-26,70383231.97374997,0.0,70383231.97374997,1,-29.616768026250035
2023-10-27,69815951.47374997,0.0,69815951.47374997,3,-30.184048526250034
2023-10-30,69973736.76374997,-34500.0,69939236.76374997,2,-30.060763236250025
2023-10-31,70536725.76374997,0.0,70536725.76374997,1,-29.463274236250026
2023-11-01,70536725.76374997,-440000.0,70096725.76374997,2,-29.903274236250027
2023-11-02,70324092.15124997,0.0,70324092.15124997,1,-29.67590784875003
2023-11-03,70324092.15124997,48500.0,70372592.15124997,3,-29.627407848750025
2023-11-06,70319605.90124997,-132500.0,70187105.90124997,4,-29.812894098750025
2023-11-07,69670824.65124997,-106500.0,69564324.65124997,3,-30.435675348750024
2023-11-08,69304123.76374997,36000.0,69340123.76374997,2,-30.659876236250028
2023-11-09,69288013.76374997,35000.0,69323013.76374997,4,-30.676986236250027
2023-11-10,70007078.76374997,-353600.0,69653478.76374997,3,-30.34652123625003
2023-11-13,69483709.26374997,0.0,69483709.26374997,1,-30.516290736250028
2023-11-14,69483709.26374997,190800.0,69674509.26374997,4,-30.32549073625003
2023-11-15,70244723.26374997,90000.0,70334723.26374997,3,-29.66527673625003
2023-11-16,69696862.01374997,0.0,69696862.01374997,1,-30.30313798625003
2023-11-17,69611199.51374997,0.0,69611199.51374997,2,-30.388800486250027
2023-11-20,69611199.51374997,190000.0,69801199.51374997,5,-30.198800486250025
2023-11-21,69753287.01374997,-173500.0,69579787.01374997,3,-30.42021298625003
2023-11-22,69096858.01374997,0.0,69096858.01374997,1,-30.903141986250027
2023-11-23,68632143.01374997,142500.0,68774643.01374997,4,-31.22535698625003
2023-11-24,68308409.76374997,0.0,68308409.76374997,1,-31.69159023625003
2023-11-27,68314991.01374997,0.0,68314991.01374997,2,-31.68500898625003
2023-11-28,67506898.59374997,0.0,67506898.59374997,2,-32.49310140625003
2023-11-29,66926553.09374997,-91500.0,66835053.09374997,2,-33.16494690625003
2023-11-30,66549777.34374997,0.0,66549777.34374997,2,-33.45022265625003
2023-12-01,66112520.59374997,112500.0,66225020.59374997,3,-33.774979406250026
2023-12-04,66212601.84374997,270000.0,66482601.84374997,3,-33.517398156250024
2023-12-05,66134136.84374997,0.0,66134136.84374997,2,-33.86586315625003
2023-12-06,66281693.34374997,-42000.0,66239693.34374997,1,-33.76030665625003
2023-12-07,66190238.34374997,0.0,66190238.34374997,3,-33.80976165625003
2023-12-08,66338512.44374997,-310000.0,66028512.44374997,2,-33.97148755625003
2023-12-11,65363239.69374997,0.0,65363239.69374997,1,-34.63676030625003
2023-12-12,64923419.69374997,-30000.0,64893419.69374997,2,-35.10658030625003
2023-12-13,64367380.69374997,0.0,64367380.69374997,1,-35.63261930625003
2023-12-14,64367380.69374997,0.0,64367380.69374997,3,-35.63261930625003
2023-12-15,64092770.52374997,136000.0,64228770.52374997,2,-35.771229476250035
2023-12-18,64029410.52374997,0.0,64029410.52374997,2,-35.970589476250034
2023-12-19,64029410.52374997,165000.0,64194410.52374997,2,-35.805589476250034
2023-12-20,64061166.77374997,0.0,64061166.77374997,2,-35.938833226250026
2023-12-21,63620643.52374997,-159500.0,63461143.52374997,3,-36.53885647625003
2023-12-22,63315769.77374997,-36000.0,63279769.77374997,2,-36.72023022625003
2023-12-27,62808754.77374997,0.0,62808754.77374997,2,-37.19124522625003
2023-12-28,62947983.85499997,0.0,62947983.85499997,1,-37.05201614500003
2023-12-29,62532267.85499997,0.0,62532267.85499997,2,-37.467732145000035
2024-01-02,62075710.85499997,0.0,62075710.85499997,3,-37.92428914500003
2024-01-03,61987629.60499997,-46000.0,61941629.60499997,4,-38.05837039500003
2024-01-04,61733916.60499997,-354800.0,61379116.60499997,3,-38.620883395000035
2024-01-05,61259371.10499997,80000.0,61339371.10499997,3,-38.66062889500003
2024-01-08,61094071.10499997,20000.0,61114071.10499997,4,-38.885928895000035
2024-01-09,61406433.60499997,284500.0,61690933.60499997,3,-38.30906639500004
2024-01-10,61482778.60499997,0.0,61482778.60499997,3,-38.517221395000035
2024-01-11,61516978.60499997,123000.0,61639978.60499997,4,-38.36002139500003
2024-01-12,61908079.80499997,46000.0,61954079.80499997,2,-38.04592019500003
2024-01-15,61748057.30499997,-202500.0,61545557.30499997,3,-38.45444269500003
2024-01-16,61580893.55499997,126400.0,61707293.55499997,4,-38.29270644500003
2024-01-17,61162329.55499997,174000.0,61336329.55499997,3,-38.66367044500003
2024-01-18,61244399.55499997,0.0,61244399.55499997,3,-38.755600445000034
2024-01-19,60863316.55499997,0.0,60863316.55499997,3,-39.13668344500003
2024-01-22,61044945.88124997,-37500.0,61007445.88124997,2,-38.99255411875003
2024-01-23,60851820.88124997,115000.0,60966820.88124997,2,-39.03317911875003
2024-01-24,60921223.38124997,90000.0,61011223.38124997,1,-38.98877661875002
2024-01-25,61011560.88124997,0.0,61011560.88124997,2,-38.98843911875003
2024-01-26,59792905.13124997,0.0,59792905.13124997,1,-40.207094868750026
2024-01-29,59501379.13124997,0.0,59501379.13124997,2,-40.49862086875003
2024-01-30,59501379.13124997,-66700.0,59434679.13124997,2,-40.56532086875003
2024-01-31,59323173.63124997,0.0,59323173.63124997,3,-40.67682636875003
2024-02-01,59690173.63124997,-124000.0,59566173.63124997,3,-40.43382636875003
2024-02-02,59452363.63124997,150000.0,59602363.63124997,2,-40.39763636875003
2024-02-05,59403257.38124997,0.0,59403257.38124997,2,-40.59674261875003
2024-02-06,59403257.38124997,189000.0,59592257.38124997,5,-40.40774261875003
2024-02-07,59558042.38124997,235000.0,59793042.38124997,3,-40.206957618750025
2024-02-12,60157846.97499997,0.0,60157846.97499997,2,-39.84215302500003
2024-02-13,60290964.76499997,-44000.0,60246964.76499997,1,-39.75303523500003
2024-02-15,60312799.76499997,0.0,60312799.76499997,4,-39.687200235000034
2024-02-16,60401127.28999997,-654500.0,59746627.28999997,4,-40.25337271000003
2024-02-19,59505356.53999997,-67500.0,59437856.53999997,2,-40.56214346000003
2024-02-20,59661117.28999997,225000.0,59886117.28999997,3,-40.113882710000034
2024-02-21,59804086.03999997,-209000.0,59595086.03999997,3,-40.40491396000003
2024-02-22,59397067.28999997,55000.0,59452067.28999997,1,-40.547932710000026
2024-02-23,59407379.78999997,0.0,59407379.78999997,0,-40.59262021000003
2024-02-26,59407379.78999997,0.0,59407379.78999997,3,-40.59262021000003
2024-02-27,59407379.78999997,87000.0,59494379.78999997,5,-40.50562021000003
2024-02-28,59306604.78999997,0.0,59306604.78999997,1,-40.693395210000034
2024-02-29,59231092.28999997,0.0,59231092.28999997,4,-40.76890771000003
2024-03-01,59231092.28999997,-25900.0,59205192.28999997,5,-40.79480771000003
2024-03-04,59208078.78999997,228000.0,59436078.78999997,1,-40.56392121000003
2024-03-05,58889615.03999997,0.0,58889615.03999997,2,-41.110384960000026
2024-03-06,58492410.53999997,105000.0,58597410.53999997,4,-41.40258946000003
